"cond.SN","cond.SN.dil","strain","well","fit","fit.se","od600.m","od600.sd","cfu.m","cfu.sd","REP","cfu.se"
"C",0,"E","A06",4.67864473230846,0.406714913372318,0.2157,0.0347180708629446,42150.5504587156,6784.3569667956,1,2145.40204747054
"C",0.00625,"E","A05",3.12265578199662,1.17267092137684,0.2469,0.0370118599610689,48247.4311926606,7232.59281808044,1,2287.146669371
"C",0.0125,"E","A04",0.78774278767171,0.194088225911464,0.2854,0.032125448548533,55770.8256880734,6277.72526682343,1,1985.19103679503
"C",0.025,"E","A03",5.15299836945901,0.996672219839878,0.2524,0.0386758609758364,49322.2018348624,7557.7599888561,1,2389.97355736741
"C",0.05,"E","A02",4.14603963831028,0.722493227323973,0.2526,0.034127864145169,49361.2844036697,6669.0229935055,1,2108.93024275117
"C",0.1,"E","A01",6.32757088532881,0.840711508225294,0.2784,0.0178150997128216,54402.9357798165,3481.29930167983,1,1100.88350100619
"E",0,"E","B06",4.39833439228803,0.277283689781584,0.2061,0.0322918978486348,40274.5871559633,6310.25159794424,1,1995.47676582209
"E",0.00625,"E","B05",3.30549960277573,0.146468251407225,0.1863,0.024850888649436,36405.4128440367,4856.18282782557,1,1535.65984701261
"E",0.0125,"E","B04",2.16858942239175,0.488898534926157,0.1955,0.0265591582865288,38203.2110091743,5190.0006559914,1,1641.22231307008
"E",0.025,"E","B03",1.18958610215064,0.0935308686204861,0.2227,0.0168789810118976,43518.4403669725,3298.36968397632,1,1043.0360766615
"E",0.05,"E","B02",3.15234523160431,0.315295972571366,0.2866,0.0315531297972166,56005.3211009174,6165.88683193316,1,1949.82461837486
"E",0.1,"E","B01",3.40638672733294,0.435155780326445,0.2993,0.025219260716982,58487.0642201835,4928.16746120841,1,1558.42338681481
"M",0,"E","D06",2.25202497798609,0.149625228346247,0.1894,0.0247170656295065,37011.1926605505,4830.03209090357,1,1527.39025789607
"M",0.00625,"E","D05",3.79514874812412,0.302708396519683,0.2044,0.0297776948589227,39942.3853211009,5818.94404123902,1,1840.11167473801
"M",0.0125,"E","D04",2.2441651141197,0.329072637911964,0.2139,0.0253747468515014,41798.8073394495,4958.55144896311,1,1568.03164738516
"M",0.025,"E","D03",5.31973278869064,0.189823905977671,0.2365,0.0346898960633913,46215.1376146789,6778.85124908472,1,2143.66098665851
"M",0.05,"E","D02",6.64468488804391,0.250954274753599,0.2533,0.0344772066411677,49498.0733944954,6737.28900419149,1,2130.51785080528
"M",0.1,"E","D01",3.76838698577378,0.244709661754982,0.2798,0.0217449866508224,54676.5137614679,4249.24968497722,1,1343.7307351281
"P",0,"E","E06",1.14764060636387,0.126343525728601,0.2166,0.0222121088097861,42326.4220183486,4340.53135457288,1,1372.59653358262
"P",0.00625,"E","E05",1.79357450065979,0.0938679786599845,0.3015,0.0350689796448846,58916.9724770642,6852.92904987195,1,2167.0864441129
"P",0.0125,"E","E04",4.6408725240369,0.525662643007425,0.2947,0.0443422296838277,57588.1651376147,8665.04121344523,1,2740.12662537162
"P",0.025,"E","E03",7.39274927146954,0.528792012080413,0.2556,0.0492210433769045,49947.5229357798,9618.42407273455,1,3041.61275712342
"P",0.05,"E","E02",7.57013133884026,0.818414235124773,0.24,0.0443696593030267,46899.0825688073,8670.40131334376,1,2741.82163778815
"P",0.1,"E","E01",6.88677933254953,0.894581543829375,0.2921,0.0261638002676302,57080.0917431193,5112.74262110571,1,1616.79117729133
"S",0,"E","F06",0.53820871625264,0.202359252010934,0.1988,0.0276397459386941,38848.0733944954,5401.16136233196,1,1707.9971915067
"S",0.00625,"E","F05",2.18812630818639,0.165469394060707,0.2199,0.0190930470183375,42971.2844036697,3731.0266191797,1,1179.85421273255
"S",0.0125,"E","F04",1.20434759496447,0.111431315117692,0.2165,0.0258123570752029,42306.8807339449,5044.06610735617,1,1595.07375677049
"S",0.025,"E","F03",-0.659344281803749,0.0259145520013736,0.2485,0.0390789798570365,48560.0917431193,7636.53459591631,1,2414.88427537691
"S",0.05,"E","F02",3.8921666547901,0.0531756857112078,0.2898,0.0303014484435609,56630.6422018349,5921.29221878758,1,1872.47701028008
"S",0.1,"E","F01",3.43821200228986,0.143635947354242,0.3131,0.0282152441066881,61183.7614678899,5513.62109607759,1,1743.56008187593
"T",0,"E","G06",0.976037360341601,0.126249816139277,0.2125,0.0215367902281964,41525.2293577982,4208.5654299136,1,1330.86524403727
"T",0.00625,"E","G05",0.37257219839894,0.0892028774915211,0.2526,0.0205004065000347,49361.2844036697,4006.04273808018,1,1266.82194563107
"T",0.0125,"E","G04",0.0598655337427158,0.500026192451188,0.2681,0.0286916557750004,52390.1834862385,5606.71805511475,1,1772.99992525521
"T",0.025,"E","G03",0.647415110742734,0.0770757163560804,0.1987,0.0120374415886433,38828.5321100917,2352.27069576241,1,743.85330718782
"T",0.05,"E","G02",4.65211242886858,0.252815737262253,0.2456,0.00946572765295937,47993.3944954128,1849.7247615416,1,584.934329088328
"T",0.1,"E","G01",1.27607088073913,0.134471548517509,0.2916,0.0273991078524669,56982.3853211009,5354.13758951875,1,1693.12696888029
