"comp","variable","value","v1","v2"
"C-E","v1.alone",2525000,"C","E"
"C-M","v1.alone",2525000,"C","M"
"C-P","v1.alone",2525000,"C","P"
"C-S","v1.alone",2525000,"C","S"
"C-T","v1.alone",2525000,"C","T"
"E-M","v1.alone",20750000,"E","M"
"E-P","v1.alone",20750000,"E","P"
"E-S","v1.alone",20750000,"E","S"
"E-T","v1.alone",20750000,"E","T"
"M-P","v1.alone",62500000,"M","P"
"M-S","v1.alone",62500000,"M","S"
"M-T","v1.alone",62500000,"M","T"
"P-S","v1.alone",750,"P","S"
"P-T","v1.alone",750,"P","T"
"S-T","v1.alone",63750000,"S","T"
"C-E","v2.alone",20750000,"C","E"
"C-M","v2.alone",62500000,"C","M"
"C-P","v2.alone",750,"C","P"
"C-S","v2.alone",63750000,"C","S"
"C-T","v2.alone",2912500,"C","T"
"E-M","v2.alone",62500000,"E","M"
"E-P","v2.alone",750,"E","P"
"E-S","v2.alone",63750000,"E","S"
"E-T","v2.alone",2912500,"E","T"
"M-P","v2.alone",750,"M","P"
"M-S","v2.alone",63750000,"M","S"
"M-T","v2.alone",2912500,"M","T"
"P-S","v2.alone",63750000,"P","S"
"P-T","v2.alone",2912500,"P","T"
"S-T","v2.alone",2912500,"S","T"
"C-E","v1",15125000,"C","E"
"C-M","v1",5e+05,"C","M"
"C-P","v1",4125000,"C","P"
"C-S","v1",3500000,"C","S"
"C-T","v1",5e+05,"C","T"
"E-M","v1",0,"E","M"
"E-P","v1",5e+05,"E","P"
"E-S","v1",250000,"E","S"
"E-T","v1",5e+05,"E","T"
"M-P","v1",2500000,"M","P"
"M-S","v1",250000,"M","S"
"M-T","v1",250000,"M","T"
"P-S","v1",1.1e+08,"P","S"
"P-T","v1",8250000,"P","T"
"S-T","v1",250000,"S","T"
"C-E","v2",1750000,"C","E"
"C-M","v2",377500000,"C","M"
"C-P","v2",20375000,"C","P"
"C-S","v2",767500000,"C","S"
"C-T","v2",1e+07,"C","T"
"E-M","v2",18125000,"E","M"
"E-P","v2",7750000,"E","P"
"E-S","v2",1.6e+08,"E","S"
"E-T","v2",2875000,"E","T"
"M-P","v2",18375000,"M","P"
"M-S","v2",542500000,"M","S"
"M-T","v2",4125000,"M","T"
"P-S","v2",59625000,"P","S"
"P-T","v2",23875000,"P","T"
"S-T","v2",6400000,"S","T"
